check_name,passed,observed,expected,severity,detail
prediction_rows,True,11379,11379,error,Glicko_low
prediction_match_id_unique,True,0,0,error,Glicko_low
game_id_equals_fcode,True,True,True,error,Glicko_low
feature_prediction_match_id_set,True,missing=0; extra=0,missing=0; extra=0,error,Glicko_low
merged_rows,True,11379,11379,error,Glicko_low
winner_loser_alignment,True,checked,prediction winner/loser equal feature winner_id/loser_id,error,Glicko_low
player_a_maps_to_prediction_players,True,checked,player_a_id is either prediction winner or loser,error,Glicko_low
prediction_rows,True,11379,11379,error,Validation_best_Elo
prediction_match_id_unique,True,0,0,error,Validation_best_Elo
game_id_equals_fcode,True,True,True,error,Validation_best_Elo
feature_prediction_match_id_set,True,missing=0; extra=0,missing=0; extra=0,error,Validation_best_Elo
merged_rows,True,11379,11379,error,Validation_best_Elo
winner_loser_alignment,True,checked,prediction winner/loser equal feature winner_id/loser_id,error,Validation_best_Elo
player_a_maps_to_prediction_players,True,checked,player_a_id is either prediction winner or loser,error,Validation_best_Elo
prediction_rows,True,11379,11379,error,Glicko_C0
prediction_match_id_unique,True,0,0,error,Glicko_C0
game_id_equals_fcode,True,True,True,error,Glicko_C0
feature_prediction_match_id_set,True,missing=0; extra=0,missing=0; extra=0,error,Glicko_C0
merged_rows,True,11379,11379,error,Glicko_C0
winner_loser_alignment,True,checked,prediction winner/loser equal feature winner_id/loser_id,error,Glicko_C0
player_a_maps_to_prediction_players,True,checked,player_a_id is either prediction winner or loser,error,Glicko_C0
prediction_rows,True,11379,11379,error,Default_Elo
prediction_match_id_unique,True,0,0,error,Default_Elo
game_id_equals_fcode,True,True,True,error,Default_Elo
feature_prediction_match_id_set,True,missing=0; extra=0,missing=0; extra=0,error,Default_Elo
merged_rows,True,11379,11379,error,Default_Elo
winner_loser_alignment,True,checked,prediction winner/loser equal feature winner_id/loser_id,error,Default_Elo
player_a_maps_to_prediction_players,True,checked,player_a_id is either prediction winner or loser,error,Default_Elo
prediction_rows,True,11379,11379,error,Conservative_Elo
prediction_match_id_unique,True,0,0,error,Conservative_Elo
game_id_equals_fcode,True,True,True,error,Conservative_Elo
feature_prediction_match_id_set,True,missing=0; extra=0,missing=0; extra=0,error,Conservative_Elo
merged_rows,True,11379,11379,error,Conservative_Elo
winner_loser_alignment,True,checked,prediction winner/loser equal feature winner_id/loser_id,error,Conservative_Elo
player_a_maps_to_prediction_players,True,checked,player_a_id is either prediction winner or loser,error,Conservative_Elo
prediction_rows,True,11379,11379,error,best_AdaptiveK
prediction_match_id_unique,True,0,0,error,best_AdaptiveK
game_id_equals_fcode,True,True,True,error,best_AdaptiveK
feature_prediction_match_id_set,True,missing=0; extra=0,missing=0; extra=0,error,best_AdaptiveK
merged_rows,True,11379,11379,error,best_AdaptiveK
winner_loser_alignment,True,checked,prediction winner/loser equal feature winner_id/loser_id,error,best_AdaptiveK
player_a_maps_to_prediction_players,True,checked,player_a_id is either prediction winner or loser,error,best_AdaptiveK
