comparison_id,reference_file,new_file,key_columns,row_count_reference,row_count_new,column_match,key_match,max_absolute_numeric_difference,text_columns_match,tolerance,status,notes
elo_2025_core_metrics,outputs/meeting6/33_overall_model_metrics.csv,outputs/refactor_validation/elo_pipeline/elo_metrics_2025.csv,model,3,3,mapped,True,4.537481501643015e-13,True,1e-10,PASS,"Mapped comparison of brier, log_loss, and accuracy."
34_bootstrap_confidence_intervals,outputs/meeting7/34_bootstrap_confidence_intervals.csv,outputs/refactor_validation/meeting7/34_bootstrap_confidence_intervals.csv,group_type|group|comparison|metric,288,288,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_bootstrap_metadata,outputs/meeting7/34_bootstrap_metadata.csv,outputs/refactor_validation/meeting7/34_bootstrap_metadata.csv,threshold|comparison|metric,54,54,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_bootstrap_method_audit_checks,outputs/meeting7/34_bootstrap_method_audit_checks.csv,outputs/refactor_validation/meeting7/34_bootstrap_method_audit_checks.csv,check_name,11,11,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_bootstrap_robustness_comparison,outputs/meeting7/34_bootstrap_robustness_comparison.csv,outputs/refactor_validation/meeting7/34_bootstrap_robustness_comparison.csv,threshold|metric,12,12,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_bootstrap_robustness_validation_checks,outputs/meeting7/34_bootstrap_robustness_validation_checks.csv,outputs/refactor_validation/meeting7/34_bootstrap_robustness_validation_checks.csv,check_name,16,16,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_cumulative_threshold_model_performance,outputs/meeting7/34_cumulative_threshold_model_performance.csv,outputs/refactor_validation/meeting7/34_cumulative_threshold_model_performance.csv,group_type|group|model,24,24,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_early_game_appearance_dataset,outputs/meeting7/34_early_game_appearance_dataset.csv,outputs/refactor_validation/meeting7/34_early_game_appearance_dataset.csv,match_id|player_id,22758,22758,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_exact_appearance_counts,outputs/meeting7/34_exact_appearance_counts.csv,outputs/refactor_validation/meeting7/34_exact_appearance_counts.csv,appearance_number,20,20,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_exact_appearance_model_performance,outputs/meeting7/34_exact_appearance_model_performance.csv,outputs/refactor_validation/meeting7/34_exact_appearance_model_performance.csv,appearance_number|model,80,80,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_input_validation_checks,outputs/meeting7/34_input_validation_checks.csv,outputs/refactor_validation/meeting7/34_input_validation_checks.csv,check_name,25,25,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
