old_file,step33_file_or_retained_file,status_or_reason
29_per_match_model_scores_2025.csv,33_orientation_corrected_per_match_scores_2025.csv,Glicko player-A probabilities corrected to fixed direct orientation.
29_overall_model_metrics.csv,33_overall_model_metrics.csv,Overall metrics recomputed with fixed Glicko orientation.
29_subgroup_model_performance_long.csv,33_subgroup_model_performance_long.csv,Subgroup model metrics recomputed.
29_subgroup_pairwise_comparisons.csv,33_subgroup_pairwise_comparisons.csv,Paired subgroup improvements recomputed.
29_subgroup_bootstrap_confidence_intervals.csv,33_subgroup_bootstrap_confidence_intervals.csv,Bootstrap intervals recomputed.
29_adaptive_k_improvement_recovered.csv,33_adaptive_k_improvement_recovered.csv,Adaptive-K recovery recomputed.
30_debut_model_summary.csv,33_debut_corrected_model_summary.csv,Debut probability metrics recomputed.
30_debut_player_perspective.csv,33_debut_corrected_player_perspective.csv,Debut player-perspective probabilities recomputed.
30_returning_player_threshold_sensitivity.csv,33_returning_player_corrected_results.csv,Returner results recomputed.
31_returner_exclusive_bins.csv,33_returning_exclusive_bins.csv,Exclusive returner bins recomputed.
31_standard_brier_decomposition_summary.csv,33_standard_brier_decomposition_summary.csv,Murphy decomposition recomputed with fixed Glicko probabilities.
31_standard_brier_decomposition_bins.csv,33_standard_brier_decomposition_bins.csv,Murphy bins recomputed.
31_brier_decomposition_bootstrap.csv,33_brier_decomposition_bootstrap.csv,Decomposition bootstrap recomputed.
31_unique_player_rating_snapshot.csv,31_unique_player_rating_snapshot.csv,Retained; rating-level output does not depend on prediction probability orientation.
31_debut_opponent_rating_summary.csv,31_debut_opponent_rating_summary.csv,Retained; rating-level evidence does not depend on probability orientation.
