evidence_file,original_source_path,generating_step,chapter_section,evidence_role,analysis_unit,probability_orientation,bootstrap_unit,reporting_status,warning,source_git_blob_sha,local_sha256
early_game_cumulative_core.csv,outputs/meeting7/34_cumulative_threshold_model_performance.csv,Step 34,5.3,primary,appearance,focal-player win probability,none,derived extraction,first 1/5/10/20; Elo vs low-inflation Glicko only,a91093824260192ba7a3e749bfeca452a5a47e93,aa8d49a0c411fed4ce11a740ea3a17a0aeccf306b68237454a3a733b84c63b45
early_game_stage_core.csv,outputs/meeting7/34_stage_bin_model_performance.csv,Step 34,5.3,primary,appearance,focal-player win probability,none,derived extraction,non-overlapping stages; source column `matches` should be labelled games in dissertation,5300ff2dab3fca8e309a8e7fec219f5bb4c13397,8d1bdf58c585e75fa88cd9f31ecf4dd4e8b1900cc6b4af9126e68af3ccbf6cdd
early_game_event_cluster_ci_core.csv,outputs/meeting7/34_match_level_bootstrap_confidence_intervals.csv,Step 34 robustness,5.6,robustness,unique game,focal-player probabilities collapsed to unique games,"event_cluster, 2000 reps",derived extraction,do not combine these point estimates with appearance-level bootstrap intervals,8a0d263408ce7bcb3b3dc08dd2cbe242569c5bf0,8472a419a8bc703595ef878aaaafefcfd142d7805f336dd9a20cded65dc3d9dc
first_appearance_mechanism_core.csv,outputs/meeting7/35_cumulative_probability_bias_summary.csv,Step 35,5.4,supporting,appearance,focal-player win probability,none,derived extraction,"first recorded appearance, not true career debut",8814f4086451a524e3e8479cbc0e9feb9db724be,152b0f0611fc04b0f9228ccd68e52a9b595a77383178ce2adeeecbd1bbd96865
initial_rating_invariance_core.csv,outputs/meeting7/37_initial_rating_selection.csv,Step 37,5.5.2,supporting,model-run candidate,canonical model evaluation,none,derived extraction,common shift 1000-1500 is prediction-invariant; do not call 1500 predictively superior,9a4b0c630dd90275311571d3b5b3db51d99b09df,060920daf59a0296cccdaccb9c4cca3a36989a6914727a7a004a7728251a2e7c
entry_cohort_definitions_core.csv,outputs/meeting8_technical/42_validation_checks.csv,Step 42,5.2,primary,player,n/a,none,derived extraction,recorded-entry cohorts; 2025 entrants all post-burn-in,2341611d31889aa94b4e102b35bd10381cd718ff,18fc02a9ab5931ca6a3abb82fd763baefe948627211e3e37ebf3754346430076
prematch_scale_alignment_2025_core.csv,outputs/meeting8_technical/42_entry_cohort_scale_summary.csv,Step 42,5.5.3,primary,first recorded appearance,current convention plus direct-focal sensitivity columns in source,none,derived extraction,prematch median 1237.367 is primary; do not substitute Step 41 end-of-year median 1334.544,8520e81f03ff7760bec492076ca63b939c16cd8f,7ea4084f6d145aff116201e84daa080447397faed190b6cb032852471ad80435
burnin_sensitivity_core.csv,outputs/meeting8_technical/42_burnin_sensitivity_audit.csv,Step 42,5.6,robustness,player-entry classification,n/a,none,derived extraction,all 76 held-out 2025 entrants retained under 1/3/5/10-year definitions,0358aad0d74feaef6b41bedd1d16f022129d3f17,69082cfc5f19e00bc8f6282dce8cef02b94c7bf35bdece13c95c0dfc44592f55
orientation_sensitivity_2025_core.csv,outputs/meeting8_technical/42_probability_orientation_sensitivity.csv,Step 42,5.6 / appendix,robustness,first recorded appearance,current Meeting-7 convention vs direct-focal sensitivity,none,derived extraction,qualitative overprediction direction agrees; current convention remains formal reporting source,source tracked on main,bc36fc7169a13ad988c4914e65807ef0bc72c6b2ab29af23f2af0781fa54c9f8
stage_brier_replot.png,outputs/meeting7/figures/34_fig04_stage_brier_by_model.png,Step 34,5.3,primary figure,appearance,focal-player win probability,none,local replot,locally rendered from frozen table values; not claimed byte-identical to source PNG,6a737ddb53522450574f7c5abdcfa1eecaeba04d,5e55fa7208ba9fb7d2b4574cfb298b453ec9aacf064844876495488bc2c73497
predicted_vs_empirical_replot.png,outputs/meeting7/figures/35_fig01_predicted_vs_empirical_by_stage.png,Step 35,5.4,supporting figure,appearance,focal-player win probability,none,local replot,locally rendered from frozen table values; not claimed byte-identical to source PNG,88a28953b0041afeca90f740ffead81fc4507f79,31506977327d204e618893f6db36d8f2adc686022b3d71a4dc039ddd04a035bc
prematch_scale_alignment_2025_replot.png,outputs/meeting8_technical/figures/42_fig01_entry_anchor_vs_contemporaneous_scale.png,Step 42,5.5.3,primary mechanism figure,entry-year / prematch scale,n/a,none,local 2025-only replot,source GitHub figure covers year-by-year history; local plot is a compact 2025-only rendering,c3c69fc733d87879bd49ff9ed46ab2975651bf6f,4f52947fd01f9427a5082010af748813a30755bfddac76b97d2e805e1f9cd1f9
