check_id,step,category,check_name,status,observed,expected,evidence_file,details
CHK_001,27,source_file_review,source_file_exists_27_adaptive_k_elo_comparison.py,PASS,54319,>0 bytes,code\27_adaptive_k_elo_comparison.py,Adaptive-K Elo reference from Meeting 6.
CHK_002,32,source_file_review,source_file_exists_32_glicko_probability_orientation_audit.py,PASS,28722,>0 bytes,code\32_glicko_probability_orientation_audit.py,Original Glicko probability-orientation audit.
CHK_003,33,source_file_review,source_file_exists_33_recompute_orientation_corrected_meeting6_results.py,PASS,97812,>0 bytes,code\33_recompute_orientation_corrected_meeting6_results.py,Final orientation-corrected Meeting 6 outputs.
CHK_004,34,source_file_review,source_file_exists_34_early_game_analysis.py,PASS,96726,>0 bytes,code\34_early_game_analysis.py,"Early-game appearance dataset, metrics, bootstrap and figures."
CHK_005,35,source_file_review,source_file_exists_35_early_game_mechanism_analysis.py,PASS,53135,>0 bytes,code\35_early_game_mechanism_analysis.py,Mechanism analysis for early-game findings.
CHK_006,36,source_file_review,source_file_exists_36_glicko_initialisation_source_diagnostic.py,PASS,78234,>0 bytes,code\36_glicko_initialisation_source_diagnostic.py,Initialisation-source diagnostic.
CHK_007,37,source_file_review,source_file_exists_37_glicko_initial_rating_sensitivity.py,PASS,90573,>0 bytes,code\37_glicko_initial_rating_sensitivity.py,Common initial-rating sensitivity experiment.
CHK_008,38,source_file_review,source_file_exists_38_asymmetric_adaptive_k_elo.py,PASS,76261,>0 bytes,code\38_asymmetric_adaptive_k_elo.py,Asymmetric adaptive-K Elo proof of concept.
CHK_009,39,source_file_review,source_file_exists_39_glicko_orientation_sensitivity_audit.py,PASS,59425,>0 bytes,code\39_glicko_orientation_sensitivity_audit.py,Independent orientation sensitivity audit.
CHK_010,40,source_file_review,source_file_exists_40_finalize_orientation_reporting.py,PASS,25205,>0 bytes,code\40_finalize_orientation_reporting.py,Final orientation reporting corrections.
CHK_011,glicko_core,source_file_review,source_file_exists_glicko_core.py,PASS,4673,>0 bytes,code\glicko_core.py,Shared Glicko expected-score and update functions.
CHK_012,all,output_presence,required_output_exists_33 per-match scores,PASS,17257686,>0 bytes,outputs\meeting6\33_orientation_corrected_per_match_scores_2025.csv,
CHK_013,all,output_presence,required_output_exists_33 overall metrics,PASS,1583,>0 bytes,outputs\meeting6\33_overall_model_metrics.csv,
CHK_014,all,output_presence,required_output_exists_34 appearance dataset,PASS,12093379,>0 bytes,outputs\meeting7\34_early_game_appearance_dataset.csv,
CHK_015,all,output_presence,required_output_exists_34 cumulative metrics,PASS,6020,>0 bytes,outputs\meeting7\34_cumulative_threshold_model_performance.csv,
CHK_016,all,output_presence,required_output_exists_34 stage metrics,PASS,5874,>0 bytes,outputs\meeting7\34_stage_bin_model_performance.csv,
CHK_017,all,output_presence,required_output_exists_34 exact metrics,PASS,19618,>0 bytes,outputs\meeting7\34_exact_appearance_model_performance.csv,
CHK_018,all,output_presence,required_output_exists_34 pairwise differences,PASS,52050,>0 bytes,outputs\meeting7\34_pairwise_model_differences.csv,
CHK_019,all,output_presence,required_output_exists_34 bootstrap CIs,PASS,96690,>0 bytes,outputs\meeting7\34_bootstrap_confidence_intervals.csv,
CHK_020,all,output_presence,required_output_exists_34 match-level bootstrap CIs,PASS,3125,>0 bytes,outputs\meeting7\34_match_level_bootstrap_confidence_intervals.csv,
CHK_021,all,output_presence,required_output_exists_35 key mechanism results,PASS,1599,>0 bytes,outputs\meeting7\35_key_mechanism_results.csv,
CHK_022,all,output_presence,required_output_exists_35 probability bias,PASS,4666,>0 bytes,outputs\meeting7\35_cumulative_probability_bias_summary.csv,
CHK_023,all,output_presence,required_output_exists_35 extremity,PASS,7684,>0 bytes,outputs\meeting7\35_prediction_extremity_summary.csv,
CHK_024,all,output_presence,required_output_exists_35 Glicko rating/RD,PASS,1255,>0 bytes,outputs\meeting7\35_glicko_rating_rd_summary.csv,
CHK_025,all,output_presence,required_output_exists_36 key diagnostics,PASS,2233,>0 bytes,outputs\meeting7\36_key_initialisation_diagnostic_results.csv,
CHK_026,all,output_presence,required_output_exists_36 debut state,PASS,1140,>0 bytes,outputs\meeting7\36_debut_state_summary.csv,
CHK_027,all,output_presence,required_output_exists_36 counterfactual diagnostics,PASS,2268,>0 bytes,outputs\meeting7\36_debut_counterfactual_probability_diagnostics.csv,
CHK_028,all,output_presence,required_output_exists_37 key initial-rating results,PASS,2456,>0 bytes,outputs\meeting7\37_key_initial_rating_results.csv,
CHK_029,all,output_presence,required_output_exists_37 validation initial-rating metrics,PASS,995,>0 bytes,outputs\meeting7\37_validation_initial_rating_metrics.csv,
