metric,value,details
selected_initial_rating,1500,Validation-selected candidate.
current_initial_rating,1500,Current reference specification.
validation_brier_selected,0.19125561114850315,Validation period 2023-2024.
validation_brier_1500,0.19125561114850315,Validation period 2023-2024.
test_2025_overall_brier_selected,0.18760386892431,Fixed 2025 test set.
test_2025_overall_brier_1500,0.18760386892431,Fixed 2025 test set.
test_2025_overall_log_loss_selected,0.5517787243002221,Fixed 2025 test set.
test_2025_overall_log_loss_1500,0.5517787243002221,Fixed 2025 test set.
first_1_bias_selected,0.33555359956966013,Focal appearance orientation.
first_1_bias_1500,0.33555359956966013,Focal appearance orientation.
first_5_bias_selected,0.14302039805005043,Focal appearance orientation.
first_5_bias_1500,0.14302039805005043,Focal appearance orientation.
first_1_brier_selected,0.3223155238042425,Focal appearance orientation.
first_1_brier_1500,0.3223155238042425,Focal appearance orientation.
first_5_brier_selected,0.2538089414373223,Focal appearance orientation.
first_5_brier_1500,0.2538089414373223,Focal appearance orientation.
overall_delta_brier_elo_minus_selected_glicko,0.002468771135771153,Positive means selected Glicko has lower Brier than validation-best Elo.
overall_delta_log_loss_elo_minus_selected_glicko,0.004755531648326428,Positive means selected Glicko has lower log loss than validation-best Elo.
selected_candidate_improves_validation_performance,False,Brier relative to 1500.
selected_candidate_improves_test_performance,False,Brier relative to 1500.
selected_candidate_reduces_debut_overprediction,False,Absolute first_1 prediction bias relative to 1500.
selected_candidate_creates_evidence_of_underprediction,False,Band-level empirical minus predicted >0.10 with n>=10.
max_validation_brier_difference_across_candidates,0.0,Checks whether candidates differ in validation performance.
max_test_brier_difference_across_candidates,0.0,Checks whether candidates differ in fixed 2025 performance.
max_first_1_bias_difference_across_candidates,0.0,Checks whether candidates differ in debut bias.
candidates_numerically_equivalent_within_tolerance,True,Common initial-rating shifts leave Glicko probabilities unchanged within tolerance.
main_sensitivity_conclusion,COMMON_INITIAL_RATING_SHIFT_INVARIANT,Changing the shared initial rating shifts the rating scale but not rating differences or predictions.
