experiment_id,experiment_group,research_question,model_or_variant,comparison_baseline,single_difference_tested,dataset,burn_in_or_history,evaluation_set,rating_period,rd_inflation_setting,min_rd_setting,max_rd_setting,elo_k_or_scale_setting,main_metrics,secondary_metrics,expected_output_files,expected_plots,current_status,priority_for_meeting5,notes_for_dissertation
A1,Glicko implementation validation,Does the Glicko-1 implementation behave correctly before model comparison?,Glicko-1 probability sanity checks,No performance baseline; formula-level validation only,Not comparing model performance; verifies expected probabilities follow Glicko behaviour.,1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Not applicable,C=0; not part of this validation,MIN_RD=30,MAX_RD=350,Not applicable,Expected score for equal/higher/lower ratings,Pass/fail notes; probability range checks,outputs/glicko_implementation/glicko_core_sanity_results.csv,None required; simple validation table is sufficient,Completed in code/18_glicko_core_sanity_check.py,1,Use this to show confidence in the implementation before discussing prediction results.
A2,Glicko implementation validation,Does the Glicko update match a known official-style batch example?,Glicko-1 official-style batch update,Expected example values around rating 1464 and RD 152,Not comparing model performance; verifies update formula and simultaneous batch update.,Synthetic Glicko example,Not applicable,Not applicable,One synthetic rating period,C=0,MIN_RD=30,MAX_RD=350,Not applicable,New rating and new RD vs expected values,Pass/fail tolerance check,outputs/glicko_implementation/glicko_core_example_updates.csv,None required,Completed; example gave rating 1464.106 and RD 151.399,1,This is useful evidence that the Glicko formula itself is implemented correctly.
A3,Glicko implementation validation,Do RD bounds behave sensibly at MIN_RD and MAX_RD?,Glicko-1 RD boundary checks,Glicko core constants,Not comparing model performance; checks that RD is bounded and not allowed to exceed new-player RD.,Synthetic edge cases,Not applicable,Not applicable,Synthetic edge cases,C=0 initially; future inflation must still respect MAX_RD,MIN_RD=30,MAX_RD=350,Not applicable,RD after update; number below MIN_RD; number above MAX_RD,Warning table for boundary behaviour,Future: outputs/glicko_implementation/glicko_rd_boundary_check.csv,None required,Planned; core clamp exists in glicko_core.py but explicit boundary table not yet generated,1,Boundary checks will help justify later inactivity RD inflation settings.
A4,Glicko implementation validation,Are predictions recorded before rating/RD updates?,Prediction-before-update audit,Existing Elo/Glicko pipeline convention,Not comparing model performance; verifies no result leakage in prediction rows.,1985-2025 full-history checked match-level dataset,1985-2025 full history,2025 test games plus selected earlier audit rows,Match-by-match initially,C=0,MIN_RD=30,MAX_RD=350,Not applicable,Audit pass/fail; pre-match state equals state before update,Selected example rows; prediction probability range,Future: outputs/glicko_implementation/glicko_prediction_before_update_audit.csv,None required,Partly completed by design in code/19 and code/20; explicit audit table still useful,1,This addresses fair predictive evaluation: each match must be predicted before its result is used.
A5,Glicko implementation validation,Do active high-volume players have broadly comparable Elo and Glicko rating lists?,Active-player Elo-vs-Glicko rating-list similarity,Validation-best Elo and default Elo final ratings,"Implementation behaviour check, especially for players with many games; not the final performance comparison.",1985-2025 full-history checked match-level dataset,1985-2025 full history,Active 2025 players; include games >=100 lifetime or in-run threshold,Use selected Glicko period assumption,"C=0 first, then selected RD inflation variant",MIN_RD=30,MAX_RD=350,Elo K=20 scale=500 and K=30 scale=300,Spearman rank correlation; Top50/Top100 overlap,Mean abs rating/rank difference; active player counts,Future: outputs/model_comparison/active_player_rating_list_similarity.csv,Rank scatter plot; Top100 overlap bar chart,Planned,1,This helps identify whether Glicko is producing plausible rankings for well-observed players.
B1,Glicko inactivity RD inflation sensitivity,What happens when inactive players do not regain uncertainty?,Glicko C=0 current baseline,Current match-by-match Glicko baseline,Reference variant: no inactivity RD inflation.,1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Selected after rating-period diagnostic; match-by-match currently strongest,C=0,MIN_RD=30,MAX_RD=350,Not applicable,2025 log loss; Brier score; final RD distribution,Players at MIN_RD; inactive returning-player examples; calibration,outputs/glicko_implementation/glicko_mbm_metrics_2025.csv; glicko_mbm_rd_summary.csv,RD distribution histogram; RD vs games played,Completed as current baseline,2,This baseline shows the limitation that inactive players do not become more uncertain over time.
B2,Glicko inactivity RD inflation sensitivity,Does low inactivity RD inflation improve uncertainty behaviour without hurting predictions?,Glicko low RD inflation,Glicko C=0,"Only C changes; dataset, rating period, initial rating/RD, MIN_RD, MAX_RD stay fixed.",1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Selected Glicko period assumption,Low C; exact value to be selected before coding,"MIN_RD=30, unless sensitivity requires minor adjustment",MAX_RD=350; must not exceed new-player RD,Not applicable,2025 log loss; Brier score; final RD distribution,Inactive-player RD increase; calibration; active rating-list stability,Future: outputs/glicko_implementation/glicko_rd_inflation_low_*.csv,RD distribution; inactive returner case studies,Planned,2,Tests whether Glicko's uncertainty advantage appears once inactivity is represented.
B3,Glicko inactivity RD inflation sensitivity,Does medium inactivity RD inflation provide a better trade-off?,Glicko medium RD inflation,Glicko C=0 and low C,Only C changes; all other design choices fixed.,1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Selected Glicko period assumption,Medium C; exact value to be selected before coding,"MIN_RD=30, unless sensitivity requires minor adjustment",MAX_RD=350; must not exceed new-player RD,Not applicable,2025 log loss; Brier score; final RD distribution,Returning-player prediction metrics; calibration; rating-list stability,Future: outputs/glicko_implementation/glicko_rd_inflation_medium_*.csv,RD distribution; metric comparison bar chart,Planned,2,Medium C may be a plausible final candidate if it improves uncertainty without large prediction cost.
B4,Glicko inactivity RD inflation sensitivity,Does high inactivity RD inflation make ratings too unstable?,Glicko high RD inflation,"Glicko C=0, low C, medium C",Only C changes; all other design choices fixed.,1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Selected Glicko period assumption,High C; exact value to be selected before coding,"MIN_RD=30, unless sensitivity requires minor adjustment",MAX_RD=350; must not exceed new-player RD,Not applicable,2025 log loss; Brier score; RD distribution,Rating volatility; returning-player update sizes; calibration,Future: outputs/glicko_implementation/glicko_rd_inflation_high_*.csv,RD distribution; update-size comparison,Planned,2,High C is mainly a stress test to understand when uncertainty inflation becomes too aggressive.
C1,Glicko rating-period runtime comparison,How expensive is match-by-match compared with coarser rating periods?,Glicko match-by-match period,"Event-level, monthly, yearly Glicko periods",Only rating-period grouping changes; C remains 0.,1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Match-by-match,C=0,MIN_RD=30,MAX_RD=350,Not applicable,Runtime seconds; number of rating periods; 2025 log loss; Brier score,Number of update operations; active-player rating-list similarity,Future: outputs/glicko_implementation/glicko_rating_period_runtime_summary.csv,Runtime vs rating-period count; metrics vs period type,Partly completed: metrics and period counts exist; per-setting runtime not recorded,3,Shorter rating periods normally take longer because ratings/RDs are updated more frequently.
