scope,group,convention,metric,point_estimate,ci_lower,ci_upper,bootstrap_type,cluster_variable,bootstrap_repetitions,clusters,observations,positive_delta_means,negative_delta_means
match_level,all_2025_matches,current,delta_brier,0.0024687711357753,0.0010793233537615,0.0039571809434677,paired_event_cluster,event_key,2000,629,11379,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,all_2025_matches,current,delta_log_loss,0.0047555316483142,0.0011322782123829,0.0083722527014217,paired_event_cluster,event_key,2000,629,11379,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,all_2025_matches,reversed,delta_brier,0.0019744867783662,0.0004624905442276,0.0034323312163651,paired_event_cluster,event_key,2000,629,11379,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,all_2025_matches,reversed,delta_log_loss,0.002625862096076,-0.0011736787701578,0.0064222016460892,paired_event_cluster,event_key,2000,629,11379,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,all_2025_matches,midpoint,delta_brier,0.002241905523329,0.0008131648235311,0.0037362206244731,paired_event_cluster,event_key,2000,629,11379,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,all_2025_matches,midpoint,delta_log_loss,0.003873367788614,0.0001375446134045,0.0076911474917783,paired_event_cluster,event_key,2000,629,11379,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_1,current,delta_brier,-0.1148152118794391,-0.1578958679923186,-0.0694589239013895,paired_event_cluster,event_key,2000,60,74,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_1,current,delta_log_loss,-0.300183457005302,-0.4211490762019437,-0.1772153141742002,paired_event_cluster,event_key,2000,60,74,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_1,reversed,delta_brier,-0.1539029780003581,-0.2120930625528027,-0.0993692317655029,paired_event_cluster,event_key,2000,60,74,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_1,reversed,delta_log_loss,-0.4625168372603396,-0.6402387767930703,-0.2940516469171723,paired_event_cluster,event_key,2000,60,74,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_1,midpoint,delta_brier,-0.133426203363479,-0.1821223836675062,-0.0829382321425912,paired_event_cluster,event_key,2000,60,74,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_1,midpoint,delta_log_loss,-0.3690988747493267,-0.5178502435680185,-0.2243070234415483,paired_event_cluster,event_key,2000,60,74,Positive delta means Glicko is better,Negative delta means Elo is better
