scope,group,cluster_type,comparison,reference_model,candidate_model,metric,observed_delta_reference_minus_candidate,ci_lower_2_5,ci_upper_97_5,bootstrap_reps,n_clusters,n_rows,positive_delta_means,resampling_note
overall_2025,all_matches,event_key,Symmetric adaptive-K minus asymmetric adaptive-K,AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,brier,-4.718447854656915e-16,-5.107719802666111e-15,3.941291737419306e-15,2000,629,11379,candidate model has lower loss,Identical sampled clusters reused across comparisons within this scope/group.
overall_2025,all_matches,event_key,Symmetric adaptive-K minus asymmetric adaptive-K,AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,log_loss,-6.661338147750939e-16,-1.2323475573339238e-14,1.1105005803813113e-14,2000,629,11379,candidate model has lower loss,Identical sampled clusters reused across comparisons within this scope/group.
overall_2025,all_matches,event_key,Validation-best Elo minus asymmetric adaptive-K,Validation_best_Elo,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,brier,-0.0007087824761129458,-0.0016529032884777528,0.0002812451565235448,2000,629,11379,candidate model has lower loss,Identical sampled clusters reused across comparisons within this scope/group.
overall_2025,all_matches,event_key,Validation-best Elo minus asymmetric adaptive-K,Validation_best_Elo,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,log_loss,-0.002650535598430759,-0.005047086207925397,-0.00015004569682579253,2000,629,11379,candidate model has lower loss,Identical sampled clusters reused across comparisons within this scope/group.
overall_2025,all_matches,event_key,Asymmetric adaptive-K minus low-inflation Glicko,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Glicko_low_inflation_match_by_match,brier,0.0031775536118821557,0.0017418282455711296,0.0045536200346091935,2000,629,11379,candidate model has lower loss,Identical sampled clusters reused across comparisons within this scope/group.
overall_2025,all_matches,event_key,Asymmetric adaptive-K minus low-inflation Glicko,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Glicko_low_inflation_match_by_match,log_loss,0.007406067246749304,0.003701162927884136,0.01093777248862055,2000,629,11379,candidate model has lower loss,Identical sampled clusters reused across comparisons within this scope/group.
early_game_2025,first_1,player_id,Symmetric adaptive-K minus asymmetric adaptive-K,AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,brier,5.412337245047638e-15,-5.562633687006269e-14,6.689440668061761e-14,2000,76,76,candidate model has lower loss,Identical sampled clusters reused across comparisons within this scope/group.
early_game_2025,first_1,player_id,Validation-best Elo minus asymmetric adaptive-K,Validation_best_Elo,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,brier,-0.014810700537037258,-0.023168749869923753,-0.007289703549878928,2000,76,76,candidate model has lower loss,Identical sampled clusters reused across comparisons within this scope/group.
early_game_2025,first_1,player_id,Asymmetric adaptive-K minus Glicko,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Glicko_low_inflation_match_by_match,brier,-0.09698305839844251,-0.13773235522813992,-0.057857548784361196,2000,76,76,candidate model has lower loss,Identical sampled clusters reused across comparisons within this scope/group.
early_game_2025,first_5,player_id,Symmetric adaptive-K minus asymmetric adaptive-K,AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,brier,2.609024107869118e-15,-2.362485207463294e-14,2.8203828161821298e-14,2000,108,406,candidate model has lower loss,Identical sampled clusters reused across comparisons within this scope/group.
