figure_number,filename,title,analysis_role,main_message,sample_size,small_sample_warning,recommended_for_main_meeting,recommended_for_appendix
M5/6-1,outputs/meeting6/figures/29_fig01_overall_brier_zoomed.png,Overall model Brier score,primary,Glicko low inflation has the lowest overall Brier score.,11379.0,False,True,False
30-1,outputs/meeting6/figures/30_fig01_debut_probability_vs_actual.png,Debut predicted probability versus actual win rate,primary,Glicko overpredicts debut-player wins relative to Elo.,72.0,False,True,False
31-1,outputs\meeting6\figures\31_fig01_unique_player_rating_snapshot.png,Initial rating vs unique established-player rating snapshot,diagnostic,Shows initial rating relative to unique established players.,,False,False,True
31-2,outputs\meeting6\figures\31_fig02_debut_opponent_rating_distribution.png,Initial rating relative to opponents faced by debut players,primary,"Debut opponents are much lower-rated in Glicko, explaining high debut probabilities.",72.0,False,True,False
31-3,outputs\meeting6\figures\31_fig03_standard_calibration_overall.png,Standard player-A calibration overall,secondary,Common-outcome calibration replaces model-specific favourite calibration.,11379.0,False,True,False
31-4,outputs\meeting6\figures\31_fig04_standard_calibration_no_debut.png,Standard player-A calibration excluding debut,secondary,Calibration pattern after removing debut matches.,11305.0,False,False,True
31-5,outputs\meeting6\figures\31_fig05_standard_calibration_debut.png,Standard player-A calibration for debut matches,diagnostic,Small-sample calibration view for debut matches.,72.0,True,False,True
31-6,outputs\meeting6\figures\31_fig06_zero_activity_decomposition_with_ci.png,"No recent activity, debut and missing-date decomposition",primary,The negative zero-activity result is driven by debut/no-history matches.,,False,True,False
31-7,outputs\meeting6\figures\31_fig07_returner_inflation_with_ci.png,Returner inflation contribution with CIs,primary,"RD inflation improves C0 for long-inactivity samples, with uncertainty shown.",,False,True,False
31-8,outputs\meeting6\figures\31_fig08_returner_inflation_exclusive_bins.png,Returner inflation contribution in exclusive bins,exploratory,Exclusive inactivity bins show small-sample uncertainty.,,True,False,True
31-9,outputs\meeting6\figures\31_fig09_overall_exclusion_robustness_with_ci.png,Overall exclusion robustness with CIs,primary,Glicko advantage remains and strengthens after excluding debut matches.,11379.0,False,True,False
31-10,outputs\meeting6\figures\31_fig10_no_debut_rd_quartiles_with_ci.png,No-debut RD quartiles with CIs,exploratory,No-debut RD relationship is not monotonic.,11305.0,False,False,True
