"source_file","target","reference_type","evidence","refactor_requirement"
"13_build_full_history_match_dataset.py","07_build_multiyear_match_dataset.py","dynamic_import","importlib.util.spec_from_file_location loads the numeric filename","Consolidate both responsibilities in code/data/build_matches.py."
"18_glicko_core_sanity_check.py","glicko_core.py","python_import","from glicko_core import constants and update functions","Update tests to import code.models.glicko; retain compatibility wrapper."
"19_glicko_match_by_match_baseline.py","glicko_core.py","python_import","imports expected_score and update functions","Archive script remains runnable through compatibility wrapper."
"20_glicko_rating_period_sensitivity.py","glicko_core.py","python_import","imports expected_score and update functions","Archive script remains runnable through compatibility wrapper."
"23_glicko_implementation_validation.py","glicko_core.py","python_import","imports canonical constants and formula functions","Archive script remains runnable through compatibility wrapper."
"24_glicko_rd_inflation_sensitivity.py","glicko_core.py","python_import","imports constants; expected_score; two-player update","Canonical pipeline must import code.models.glicko."
"25_glicko_rating_period_runtime_comparison.py","glicko_core.py","python_import","imports constants and update functions","Archive script remains runnable through compatibility wrapper."
"36_glicko_initialisation_source_diagnostic.py","glicko_core.py","python_import","imports constants and expected_score","Archive script remains runnable through compatibility wrapper."
"37_glicko_initial_rating_sensitivity.py","glicko_core.py","python_import","imports constants and two-player update","Archive script remains runnable through compatibility wrapper."
"39_glicko_orientation_sensitivity_audit.py","glicko_core.py","python_import","imports expected_score","Archive script remains runnable through compatibility wrapper."
"22_meeting5_experiment_matrix.py","13-20 numbered scripts","filename_reference","planning matrix contains explicit numbered script filenames","Preserve original filenames in archive and document mapping."
"30_debut_initialisation_and_robustness_diagnostics.py","26_fair_elo_vs_glicko_comparison.py","source_text_reference","reads the Step 26 source text to recover constants","Preserve the archived filename; active configuration documents frozen values."
"41_burnin_entry_and_rating_drift_diagnostic.py","24_glicko_rd_inflation_sensitivity.py","dynamic_import","loads Step 24 to reuse exact processing order and low-inflation configuration","Update active module to import code.pipelines.glicko_pipeline."
"42_prematch_entry_scale_and_crossfile_audit.py","24_glicko_rd_inflation_sensitivity.py","dynamic_import","loads Step 24 to reuse exact processing order and low-inflation configuration","Update active module to import code.pipelines.glicko_pipeline."
"42_prematch_entry_scale_and_crossfile_audit.py","41_burnin_entry_and_rating_drift_diagnostic.py","filename_and_output_reference","declares Step 41 path and reconciles Step 41 outputs","Active entry module imports code.analysis.rating_drift and preserves Step 41 output names."
"26_fair_elo_vs_glicko_comparison.py","24_glicko_rd_inflation_sensitivity.py","output_dependency","reads Step 24 Glicko predictions; metrics; and ratings","Archive both inputs and document Step 33 as formal comparison successor."
"27_adaptive_k_elo_comparison.py","26_fair_elo_vs_glicko_comparison.py","output_dependency","reads fair comparison predictions; metrics; and ratings","Preserve both archived scripts and their output lineage."
"28_build_prematch_player_features.py","26_fair_elo_vs_glicko_comparison.py","output_dependency","reads fair predictions for the fixed 2025 set","Preserve output lineage in CODE_MAP."
"29_where_glicko_helps.py","28_build_prematch_player_features.py","output_dependency","reads Step 28 prematch match features","Preserve both archived scripts."
"29_where_glicko_helps.py","26 and 27 comparison outputs","output_dependency","normalises fixed and adaptive model predictions","Step 33 becomes the formal corrected successor."
"30_debut_initialisation_and_robustness_diagnostics.py","28 and 29 outputs","output_dependency","reads prematch features and per-match model scores","Step 34 becomes the canonical focal-appearance workflow."
"31_methodological_corrections_and_meeting6_finalisation.py","29 and 30 outputs","output_dependency","combines scores and debut diagnostics","Archive as superseded by Step 33."
"32_glicko_probability_orientation_audit.py","24 and 29 outputs","output_dependency","reconstructs direct Glicko probabilities from saved states","Extract orientation helpers and preserve audit."
"33_recompute_orientation_corrected_meeting6_results.py","29-32 outputs","output_dependency","recomputes formal tables from prior compact and detailed outputs","Move to code/pipelines/comparison_pipeline.py."
"34_early_game_analysis.py","33_recompute_orientation_corrected_meeting6_results.py","output_dependency","uses fixed Step 33 per-match scores","Move to code/analysis/early_game.py and keep Step 33 convention."
"35_early_game_mechanism_analysis.py","34_early_game_analysis.py","output_dependency","uses appearance and early-game summary tables","Archive and document active source."
"36_glicko_initialisation_source_diagnostic.py","34 and 35 outputs","output_dependency","uses appearance and mechanism tables","Archive as supporting evidence."
"37_glicko_initial_rating_sensitivity.py","33; 34; and 36 outputs","output_dependency","uses fixed scores; appearances; and key diagnostics","Archive targeted sensitivity."
"38_asymmetric_adaptive_k_elo.py","27; 33; and 34 outputs","output_dependency","reproduces prior adaptive-K and compares with fixed scores","Archive retained negative result."
"39_glicko_orientation_sensitivity_audit.py","33 and 34 outputs","output_dependency","uses fixed scores and appearances","Extract reusable orientation helpers; archive full audit."
"40_finalize_orientation_reporting.py","39 outputs","output_dependency","corrects reporting metadata only","Archive with Step 39."
"41_burnin_entry_and_rating_drift_diagnostic.py","34_early_game_analysis.py","output_dependency","checks 2025 debut rows against the frozen appearance dataset","Active rating-drift module preserves this validation."
"42_prematch_entry_scale_and_crossfile_audit.py","33 and 34 outputs","output_dependency","requires exact player-match-key reconciliation","Active entry diagnostics preserve exact checks."
"meeting7_final_code_audit.py","27 and 32-40 scripts","filename_reference","SourceFile declarations require the original numbered names","Archive the audit with the referenced scripts and document mapping."
"meeting7_final_code_audit.py","Meeting 6 and Meeting 7 compact outputs","output_dependency","recomputes and validates headline results","Replace active role with unit and golden-output regression tests."
"README.md","numbered code directory","documentation_reference","describes numbered scripts as active entry points","Update to modular CLI and legacy archive documentation."
"tracked Meeting 5-8 summaries","numbered script filenames","documentation_reference","summaries cite the chronological source scripts","Do not rewrite frozen result files; CODE_MAP provides the current mapping."
