output_name,original_path,refactored_expected_path,output_category,comparison_method,key_columns,numeric_columns,large_row_level_file,required_for_regression,notes
33_adaptive_k_improvement_recovered.csv,outputs/meeting6/33_adaptive_k_improvement_recovered.csv,outputs/refactor_validation/meeting6/33_adaptive_k_improvement_recovered.csv,adaptive-k comparison,full keyed CSV comparison,range,games|events|brier_default_elo|brier_best_adaptive_k|brier_glicko_low_fixed|improvement_recovered_brier|logloss_default_elo|logloss_best_adaptive_k|logloss_glicko_low_fixed|improvement_recovered_logloss,False,True,
33_brier_decomposition_bootstrap.csv,outputs/meeting6/33_brier_decomposition_bootstrap.csv,outputs/refactor_validation/meeting6/33_brier_decomposition_bootstrap.csv,bootstrap,full keyed bootstrap comparison,sample,games|events|glicko_reliability|elo_reliability|delta_reliability|delta_reliability_ci_lower|delta_reliability_ci_upper|glicko_resolution|elo_resolution|delta_resolution|delta_resolution_ci_lower|delta_resolution_ci_upper|common_uncertainty|delta_brier|delta_brier_ci_lower|delta_brier_ci_upper|bootstrap_replications,False,True,
33_canonical_player_orientation_checks.csv,outputs/meeting6/33_canonical_player_orientation_checks.csv,outputs/refactor_validation/meeting6/33_canonical_player_orientation_checks.csv,validation,full keyed validation comparison,check_name,,False,True,
33_debut_corrected_model_summary.csv,outputs/meeting6/33_debut_corrected_model_summary.csv,outputs/refactor_validation/meeting6/33_debut_corrected_model_summary.csv,debut analysis,full keyed CSV comparison,sample|model,evaluation_games|events|brier|log_loss|accuracy|mean_favourite_probability|favourite_win_rate|corrected_favourite_calibration_error,False,True,
33_debut_corrected_player_perspective.csv,outputs/meeting6/33_debut_corrected_player_perspective.csv,outputs/refactor_validation/meeting6/33_debut_corrected_player_perspective.csv,large row-level debut analysis,full keyed row-level comparison,match_id|player_side|model,match_id|player_id|opponent_id|player_won|p_player_win|brier_player|correct_player_prediction,True,True,
33_final_validation_checks.csv,outputs/meeting6/33_final_validation_checks.csv,outputs/refactor_validation/meeting6/33_final_validation_checks.csv,validation,full keyed validation comparison,check_name,,False,True,
33_glicko_probability_reconstruction_checks.csv,outputs/meeting6/33_glicko_probability_reconstruction_checks.csv,outputs/refactor_validation/meeting6/33_glicko_probability_reconstruction_checks.csv,large row-level orientation audit,full keyed row-level comparison,match_id,match_id|player_a_id|player_b_id|outcome_a|p_a_Glicko_low_fixed|p_a_Glicko_low_from_B|p_a_Glicko_low_symmetric|old_p_a_Glicko_low|p_a_Glicko_C0_fixed|p_a_Glicko_C0_from_B|p_a_Glicko_C0_symmetric|old_p_a_Glicko_C0|Glicko_low_complement_gap|Glicko_C0_complement_gap,True,True,
33_meeting6_final_results.csv,outputs/meeting6/33_meeting6_final_results.csv,outputs/refactor_validation/meeting6/33_meeting6_final_results.csv,final result summary,full keyed CSV comparison,subgroup,games|events|glicko_brier|elo_brier|delta_brier|delta_brier_ci_lower|delta_brier_ci_upper|glicko_logloss|elo_logloss|delta_logloss|delta_logloss_ci_lower|delta_logloss_ci_upper|glicko_accuracy|elo_accuracy|inflation_delta_brier|adaptive_delta_brier,False,True,
33_orientation_corrected_per_match_scores_2025.csv,outputs/meeting6/33_orientation_corrected_per_match_scores_2025.csv,outputs/refactor_validation/meeting6/33_orientation_corrected_per_match_scores_2025.csv,large row-level model scores,full keyed row-level comparison,match_id,match_id|match_sequence|year|event_id|player_a_id|player_b_id|winner_id|loser_id|outcome_a|a_total_games_before|b_total_games_before|a_games_last_90_days|b_games_last_90_days|a_games_last_365_days|b_games_last_365_days|a_games_previous_calendar_year|b_games_previous_calendar_year|a_days_since_last_game|b_days_since_last_game|a_career_days_before|b_career_days_before|min_total_games_before|max_total_games_before|abs_diff_total_games_before|min_games_last_90_days|max_games_last_90_days|abs_diff_games_last_90_days|min_games_last_365_days|max_games_last_365_days|abs_diff_games_last_365_days|min_previous_year_games|max_previous_year_games|abs_diff_previous_year_games|min_days_since_last_game|max_days_since_last_game|p_a_Glicko_low|p_a_Validation_best_Elo|p_a_Glicko_C0|p_a_Default_Elo|p_a_Conservative_Elo|p_a_best_AdaptiveK|rd_a_glicko_low|rd_b_glicko_low|brier_Glicko_low|logloss_Glicko_low|correct_Glicko_low|favourite_probability_Glicko_low|favourite_won_Glicko_low|brier_Validation_best_Elo|logloss_Validation_best_Elo|correct_Validation_best_Elo|favourite_probability_Validation_best_Elo|favourite_won_Validation_best_Elo|brier_Glicko_C0|logloss_Glicko_C0|correct_Glicko_C0|favourite_probability_Glicko_C0|favourite_won_Glicko_C0|brier_Default_Elo|logloss_Default_Elo|correct_Default_Elo|favourite_probability_Default_Elo|favourite_won_Default_Elo|brier_Conservative_Elo|logloss_Conservative_Elo|correct_Conservative_Elo|favourite_probability_Conservative_Elo|favourite_won_Conservative_Elo|brier_best_AdaptiveK|logloss_best_AdaptiveK|correct_best_AdaptiveK|favourite_probability_best_AdaptiveK|favourite_won_best_AdaptiveK|delta_brier_glicko_vs_elo|delta_logloss_glicko_vs_elo|delta_accuracy_glicko_vs_elo|delta_brier_inflation|delta_logloss_inflation|delta_accuracy_inflation|delta_brier_glicko_vs_adaptive|delta_logloss_glicko_vs_adaptive|delta_accuracy_glicko_vs_adaptive|delta_brier_tuned_vs_default|delta_logloss_tuned_vs_default|experience_ratio|log_experience_ratio|elo_favourite_probability|abs_probability_difference|max_prematch_rd|min_prematch_rd|mean_prematch_rd|rating_a_Glicko_low|rating_b_Glicko_low|rd_a_Glicko_low|rd_b_Glicko_low|old_p_a_Glicko_low|p_a_Glicko_low_fixed|p_b_Glicko_low_direct|p_a_Glicko_low_symmetric|Glicko_low_complement_gap|Glicko_low_abs_complement_gap|p_a_Glicko_low_from_B|rating_a_Glicko_C0|rating_b_Glicko_C0|rd_a_Glicko_C0|rd_b_Glicko_C0|old_p_a_Glicko_C0|p_a_Glicko_C0_fixed|p_b_Glicko_C0_direct|p_a_Glicko_C0_symmetric|Glicko_C0_complement_gap|Glicko_C0_abs_complement_gap|p_a_Glicko_C0_from_B|brier_Glicko_low_fixed|logloss_Glicko_low_fixed|correct_Glicko_low_fixed|favourite_probability_Glicko_low_fixed|favourite_won_Glicko_low_fixed|brier_Glicko_C0_fixed|logloss_Glicko_C0_fixed|correct_Glicko_C0_fixed|favourite_probability_Glicko_C0_fixed|favourite_won_Glicko_C0_fixed|glicko_low_fixed_favourite_probability_minus_elo|abs_probability_difference_fixed,True,True,
33_orientation_sensitivity_bootstrap.csv,outputs/meeting6/33_orientation_sensitivity_bootstrap.csv,outputs/refactor_validation/meeting6/33_orientation_sensitivity_bootstrap.csv,bootstrap,full keyed bootstrap comparison,model|orientation|sample,games|events|delta_brier_vs_elo|delta_brier_ci_lower|delta_brier_ci_upper|delta_logloss_vs_elo|delta_logloss_ci_lower|delta_logloss_ci_upper|bootstrap_replications,False,True,
33_orientation_sensitivity_metrics.csv,outputs/meeting6/33_orientation_sensitivity_metrics.csv,outputs/refactor_validation/meeting6/33_orientation_sensitivity_metrics.csv,orientation sensitivity,full keyed CSV comparison,model|orientation|sample,games|events|brier|logloss|accuracy|elo_brier|elo_logloss|delta_brier_vs_elo|delta_logloss_vs_elo,False,True,
33_overall_bootstrap_confidence_intervals.csv,outputs/meeting6/33_overall_bootstrap_confidence_intervals.csv,outputs/refactor_validation/meeting6/33_overall_bootstrap_confidence_intervals.csv,bootstrap,full keyed bootstrap comparison,diff_name,games|unique_events|point_estimate|ci_lower|ci_upper|bootstrap_replications,False,True,
