"file","step_number","category","main_purpose","imports_local_files","imported_by_other_files","reads_inputs","writes_outputs","contains_reusable_functions","contains_model_logic","contains_only_orchestration","contains_only_validation","appears_superseded","possible_successor","duplicate_or_near_duplicate","recommended_action","reason"
"01_inspect_2025_data.py","01","Data preparation","Inspect and merge the original 2025 annual source tables.","","06_add_chinese_output_names.py references its outputs","data_raw annual 2025 CSV files","data_processed/matches_2025_checked.csv","true","false","false","false","true","07_build_multiyear_match_dataset.py","No exact duplicate","Archive preserved","The later multi-year builder generalises the data preparation while this file documents the first 2025-only checks."
"02_simple_elo_2025.py","02","Model pipeline","Run the first 2025-only Elo baseline and save predictions and ratings.","","06_add_chinese_output_names.py references its outputs","data_processed/matches_2025_checked.csv","2025 Elo predictions; scores; final ratings","true","true","false","false","true","08_multiyear_elo.py","Near-duplicate structure with Step 08; unique 2025 workflow","Archive preserved","The full-history pipeline supersedes the limited time window, but the first baseline remains part of the research record."
"03_evaluate_elo_2025.py","03","Evaluation and diagnostics","Recalculate metrics, calibration, and confidence summaries for the first Elo run.","","","2025 Elo predictions","2025 evaluation and calibration CSV files","true","false","false","false","true","09_evaluate_multiyear_elo.py","No exact duplicate","Archive preserved","The evaluation logic is historically useful but later full-history and comparison evaluations are authoritative."
"04_elo_parameter_test_2025.py","04","Historical one-off experiment","Run a 2025-only Elo K and scale grid.","","","2025 checked matches","2025 Elo parameter grid","true","true","false","false","true","11_parameter_validation_multiyear.py","Shares Elo loop structure with Steps 02 and 08","Archive preserved","Later validation years avoid selecting parameters on the held-out test year."
"05_summarise_elo_results_2025.py","05","Thin orchestration script","Assemble the first Elo meeting tables and Markdown summary.","","","Steps 01-04 compact outputs","Meeting 2 compact tables and Markdown","true","false","true","false","true","17_elo_baseline_decision_summary.py","No exact duplicate","Archive preserved","This is a report-generation snapshot tied to the first 2025-only workflow."
"06_add_chinese_output_names.py","06a","Historical one-off experiment","Copy early outputs to Chinese-labelled presentation names.","","","Steps 01-05 outputs","Chinese-labelled copies and README table","true","false","true","false","true","","No exact duplicate","Archive preserved","Presentation-only localisation is not part of the active scientific pipeline."
"06_convert_meeting_summary_to_word.py","06b","Historical one-off experiment","Convert the Meeting 2 Markdown summary to a minimal DOCX file.","","","Meeting 2 Markdown summary","Meeting 2 DOCX","true","false","true","false","true","","No exact duplicate","Archive preserved","Document conversion is not an active model or analysis responsibility."
"07_build_multiyear_match_dataset.py","07","Data preparation","Load, merge, validate, and stably order annual match data across a configurable year range.","","13_build_full_history_match_dataset.py loads it dynamically","data_raw annual country; event; game; index; and outcome CSV files","checked match dataset and yearly/overall checks","true","false","false","false","false","code/data/build_matches.py","No exact duplicate","Move to canonical data module","This is the validated reusable source for annual loading, date handling, merging, and stable ordering."
"08_multiyear_elo.py","08","Model pipeline","Run Elo chronologically over the 2015-2025 dataset.","","","checked multi-year matches","multi-year Elo predictions; ratings; run summary","true","true","false","false","true","code/pipelines/elo_pipeline.py","Near-duplicate structure with Step 02","Archive preserved","The new canonical Elo pipeline covers the same responsibility with explicit configuration."
"09_evaluate_multiyear_elo.py","09","Evaluation and diagnostics","Evaluate multi-year Elo on the fixed evaluation years.","","","multi-year Elo predictions","metrics; calibration; confidence; Markdown","true","false","false","false","true","code/pipelines/comparison_pipeline.py","No exact duplicate","Archive preserved","Later fair-comparison and orientation-corrected outputs are authoritative."
"10_burnin_experiment.py","10","Historical one-off experiment","Compare Elo start years and rating-list stability for an early burn-in study.","","","checked multi-year matches; Step 09 metrics","burn-in metrics; rating lists; summaries","true","true","false","false","true","14_elo_burnin_rating_list_stability.py","Shares Elo runner structure with Steps 08 and 11","Archive preserved","Step 14 repeats the question over the complete 1985-2025 history."
"11_parameter_validation_multiyear.py","11","Historical one-off experiment","Select Elo K and scale using validation years before testing on 2025.","","","2015-2025 checked matches","validation grid; selected parameters; test result","true","true","false","false","false","code/config.py and code/pipelines/elo_pipeline.py","Shares runner structure with Step 10","Archive preserved","Its selected K=30 and scale=300 remain frozen configuration evidence."
"12_rating_stability_analysis.py","12","Evaluation and diagnostics","Measure Elo update volatility and year-to-year rating-list stability.","","","checked matches; selected parameter results","history; stability tables; checks; Markdown","true","true","false","false","false","","No exact duplicate","Archive preserved","This is a distinct stability diagnostic rather than an active reproduction entry point."
"13_build_full_history_match_dataset.py","13","Thin orchestration script","Reuse Step 07 to build and validate the 1985-2025 full-history dataset.","07_build_multiyear_match_dataset.py via importlib","","raw annual files through Step 07","full-history checked matches; summaries","true","false","true","false","true","code/data/build_matches.py","No exact duplicate","Archive preserved after consolidation","The canonical data module incorporates its full-history wrapper and exact checks."
