reference_file,new_file,output_category,required,reference_exists,new_exists,row_count_reference,row_count_new,column_sets_match,key_columns,key_sets_match,duplicate_keys_reference,duplicate_keys_new,text_columns_match,boolean_columns_match,max_absolute_numeric_difference,max_relative_numeric_difference,columns_with_differences,rows_exceeding_tolerance,comparison_status,substantive_difference,notes
outputs/meeting6/33_adaptive_k_improvement_recovered.csv,outputs/refactor_validation/meeting6/33_adaptive_k_improvement_recovered.csv,adaptive-k comparison,True,True,True,6,6,True,range,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_brier_decomposition_bootstrap.csv,outputs/refactor_validation/meeting6/33_brier_decomposition_bootstrap.csv,bootstrap,True,True,True,4,4,True,sample,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_canonical_player_orientation_checks.csv,outputs/refactor_validation/meeting6/33_canonical_player_orientation_checks.csv,validation,True,True,True,8,8,True,check_name,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_debut_corrected_model_summary.csv,outputs/refactor_validation/meeting6/33_debut_corrected_model_summary.csv,debut analysis,True,True,True,20,20,True,sample|model,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_debut_corrected_player_perspective.csv,outputs/refactor_validation/meeting6/33_debut_corrected_player_perspective.csv,large row-level debut analysis,True,True,True,740,740,True,match_id|player_side|model,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_final_validation_checks.csv,outputs/refactor_validation/meeting6/33_final_validation_checks.csv,validation,True,True,True,32,32,True,check_name,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_glicko_probability_reconstruction_checks.csv,outputs/refactor_validation/meeting6/33_glicko_probability_reconstruction_checks.csv,large row-level orientation audit,True,True,True,11379,11379,True,match_id,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_meeting6_final_results.csv,outputs/refactor_validation/meeting6/33_meeting6_final_results.csv,final result summary,True,True,True,10,10,True,subgroup,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_orientation_corrected_per_match_scores_2025.csv,outputs/refactor_validation/meeting6/33_orientation_corrected_per_match_scores_2025.csv,large row-level model scores,True,True,True,11379,11379,True,match_id,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_orientation_sensitivity_bootstrap.csv,outputs/refactor_validation/meeting6/33_orientation_sensitivity_bootstrap.csv,bootstrap,True,True,True,32,32,True,model|orientation|sample,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_orientation_sensitivity_metrics.csv,outputs/refactor_validation/meeting6/33_orientation_sensitivity_metrics.csv,orientation sensitivity,True,True,True,32,32,True,model|orientation|sample,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_overall_bootstrap_confidence_intervals.csv,outputs/refactor_validation/meeting6/33_overall_bootstrap_confidence_intervals.csv,bootstrap,True,True,True,6,6,True,diff_name,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_overall_exclusion_robustness.csv,outputs/refactor_validation/meeting6/33_overall_exclusion_robustness.csv,robustness,True,True,True,7,7,True,sample,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_overall_model_metrics.csv,outputs/refactor_validation/meeting6/33_overall_model_metrics.csv,overall model comparison,True,True,True,6,6,True,model,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_overall_pairwise_comparisons.csv,outputs/refactor_validation/meeting6/33_overall_pairwise_comparisons.csv,overall paired comparison,True,True,True,3,3,True,comparison,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_returning_exclusive_bins.csv,outputs/refactor_validation/meeting6/33_returning_exclusive_bins.csv,returning-player analysis,True,True,True,5,5,True,subgroup,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_returning_player_corrected_results.csv,outputs/refactor_validation/meeting6/33_returning_player_corrected_results.csv,returning-player analysis,True,True,True,5,5,True,subgroup,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_standard_brier_decomposition_bins.csv,outputs/refactor_validation/meeting6/33_standard_brier_decomposition_bins.csv,Brier decomposition,True,True,True,400,400,True,sample|model|bin_index,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_standard_brier_decomposition_summary.csv,outputs/refactor_validation/meeting6/33_standard_brier_decomposition_summary.csv,Brier decomposition,True,True,True,20,20,True,sample|model,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_standard_calibration_bins.csv,outputs/refactor_validation/meeting6/33_standard_calibration_bins.csv,calibration,True,True,True,300,300,True,sample|model|bin_label,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_standard_calibration_summary.csv,outputs/refactor_validation/meeting6/33_standard_calibration_summary.csv,calibration,True,True,True,30,30,True,sample|model,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_subgroup_bootstrap_confidence_intervals.csv,outputs/refactor_validation/meeting6/33_subgroup_bootstrap_confidence_intervals.csv,bootstrap,True,True,True,402,402,True,subgroup_variable|subgroup|diff_name,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_subgroup_model_performance_long.csv,outputs/refactor_validation/meeting6/33_subgroup_model_performance_long.csv,subgroup analysis,True,True,True,402,402,True,subgroup_variable|subgroup|model,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_subgroup_pairwise_comparisons.csv,outputs/refactor_validation/meeting6/33_subgroup_pairwise_comparisons.csv,subgroup paired comparison,True,True,True,67,67,True,subgroup_variable|subgroup,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_supersession_map.csv,outputs/refactor_validation/meeting6/33_supersession_map.csv,provenance,True,True,True,15,15,True,old_file,True,0,0,True,True,0.0,0.0,,0,PASS_EXACT,False,Full keyed comparison is exact.
outputs/meeting6/33_meeting6_orientation_corrected_final_summary.md,outputs/refactor_validation/meeting6/33_meeting6_orientation_corrected_final_summary.md,Markdown scientific summary,True,True,True,,,,,True,0,0,True,True,0.0,0.0,,0,PASS_NORMALISED_FORMATTING,False,Only the protected validation-root path prefix differs.
outputs/meeting6/figures/33_fig01_overall_brier_zoomed.png,outputs/refactor_validation/meeting6/figures/33_fig01_overall_brier_zoomed.png,figure,True,True,True,,,,,True,0,0,True,True,,,,0,PASS_NORMALISED_FORMATTING,False,"Image opens, is non-blank, has valid dimensions, uses validated source data, and passed manual visual review."
outputs/meeting6/figures/33_fig02_exclusion_robustness_delta_brier.png,outputs/refactor_validation/meeting6/figures/33_fig02_exclusion_robustness_delta_brier.png,figure,True,True,True,,,,,True,0,0,True,True,,,,0,PASS_NORMALISED_FORMATTING,False,"Image opens, is non-blank, has valid dimensions, uses validated source data, and passed manual visual review."
outputs/meeting6/figures/33_fig03_debut_probability_vs_actual.png,outputs/refactor_validation/meeting6/figures/33_fig03_debut_probability_vs_actual.png,figure,True,True,True,,,,,True,0,0,True,True,,,,0,PASS_NORMALISED_FORMATTING,False,"Image opens, is non-blank, has valid dimensions, uses validated source data, and passed manual visual review."
outputs/meeting6/figures/33_fig04_zero_activity_debut_decomposition.png,outputs/refactor_validation/meeting6/figures/33_fig04_zero_activity_debut_decomposition.png,figure,True,True,True,,,,,True,0,0,True,True,,,,0,PASS_NORMALISED_FORMATTING,False,"Image opens, is non-blank, has valid dimensions, uses validated source data, and passed manual visual review."
outputs/meeting6/figures/33_fig05_returner_inflation_gain.png,outputs/refactor_validation/meeting6/figures/33_fig05_returner_inflation_gain.png,figure,True,True,True,,,,,True,0,0,True,True,,,,0,PASS_NORMALISED_FORMATTING,False,"Image opens, is non-blank, has valid dimensions, uses validated source data, and passed manual visual review."
outputs/meeting6/figures/33_fig06_no_debut_rd_quartiles.png,outputs/refactor_validation/meeting6/figures/33_fig06_no_debut_rd_quartiles.png,figure,True,True,True,,,,,True,0,0,True,True,,,,0,PASS_NORMALISED_FORMATTING,False,"Image opens, is non-blank, has valid dimensions, uses validated source data, and passed manual visual review."
outputs/meeting6/figures/33_fig07_standard_player_a_calibration.png,outputs/refactor_validation/meeting6/figures/33_fig07_standard_player_a_calibration.png,figure,True,True,True,,,,,True,0,0,True,True,,,,0,PASS_NORMALISED_FORMATTING,False,"Image opens, is non-blank, has valid dimensions, uses validated source data, and passed manual visual review."
outputs/meeting6/figures/33_fig08_orientation_sensitivity.png,outputs/refactor_validation/meeting6/figures/33_fig08_orientation_sensitivity.png,figure,True,True,True,,,,,True,0,0,True,True,,,,0,PASS_NORMALISED_FORMATTING,False,"Image opens, is non-blank, has valid dimensions, uses validated source data, and passed manual visual review."
outputs/meeting6/figures/33_fig09_prediction_confidence_mechanism.png,outputs/refactor_validation/meeting6/figures/33_fig09_prediction_confidence_mechanism.png,figure,True,True,True,,,,,True,0,0,True,True,,,,0,PASS_NORMALISED_FORMATTING,False,"Image opens, is non-blank, has valid dimensions, uses validated source data, and passed manual visual review."
outputs/meeting6/figures/33_fig10_debut_opponent_rating_distribution.png,outputs/refactor_validation/meeting6/figures/33_fig10_debut_opponent_rating_distribution.png,figure,True,True,True,,,,,True,0,0,True,True,,,,0,PASS_NORMALISED_FORMATTING,False,"Image opens, is non-blank, has valid dimensions, uses validated source data, and passed manual visual review."
