evidence_file,original_path,generated_by,data_scope,evaluation_period,probability_orientation,model_selection_status,supersedes,chapter_section,key_use,sha256
"elo_validation_grid.csv","data_processed/parameter_validation_results_2015_2025.csv","archive/legacy_steps/11_parameter_validation_multiyear.py","2015-2025 Elo history; 28 K/scale combinations","validation: 2023-2024 (23,888 games); held-out test: 2025","canonical Player A; actual_a_win; direct Elo Player-A probability","validation_selection_evidence","2025-only Elo parameter tuning outputs","4.2","Select K and scale without using 2025 test performance","f02badee26e2636d9aead0f2ef4aa206b5f8dbec81baa52236e599fe8625c565"
"elo_validation_selected_model.csv","data_processed/parameter_validation_results_2015_2025.csv [filtered K=30, scale=300]","Chapter 4 evidence archival; source generated by archive/legacy_steps/11_parameter_validation_multiyear.py","2015-2025 Elo history; selected validation row","validation: 2023-2024 (23,888 games)","canonical Player A; actual_a_win; direct Elo Player-A probability","validation_selected","2025-only Elo parameter tuning outputs","4.2","Frozen selected Elo row; tie resolved after validation log loss and Brier by lower K then lower scale","c34ceebf12837150364d310ab5679f101d55ab4b15974514d59a59131ff924fe"
"overall_model_metrics.csv","outputs/meeting6/33_overall_model_metrics.csv","archive/legacy_steps/33_recompute_orientation_corrected_meeting6_results.py","1985-2025 full history; 2025 evaluation has 11,379 games and 629 events","2025","canonical Player A; outcome_a; direct Player-A probability","orientation_corrected_final","Step 29 and Step 31 probability-based overall metrics","4.3","Final overall Brier, log loss, accuracy and calibration metrics","f0e367261819f68b38266f1532d034495f17a0899fd95f110adac047e34a9e5f"
"overall_pairwise_comparisons.csv","outputs/meeting6/33_overall_pairwise_comparisons.csv","archive/legacy_steps/33_recompute_orientation_corrected_meeting6_results.py","1985-2025 full history; 2025 evaluation has 11,379 games and 629 events","2025","canonical Player A; outcome_a; direct Player-A probability","orientation_corrected_final","Step 29 and Step 31 probability-based pairwise comparisons","4.3","Final point-estimate differences between the principal model pairs","f00b627c3c6f5251e327323c55ae9ad6cfb4604dff9d16c8156055f6e525d112"
"overall_bootstrap_confidence_intervals.csv","outputs/meeting6/33_overall_bootstrap_confidence_intervals.csv","archive/legacy_steps/33_recompute_orientation_corrected_meeting6_results.py","1985-2025 full history; 2025 evaluation has 11,379 games clustered in 629 events","2025","canonical Player A; outcome_a; direct Player-A probability","orientation_corrected_final","Step 29 and Step 31 probability-based uncertainty estimates","4.3","Event-cluster bootstrap confidence intervals with 2,000 replications","d87329679e292aa5f379cc00ff9844ff0a2dd9ef853d21eb516f34d398a386e2"
"overall_brier_zoomed.png","outputs/meeting6/figures/33_fig01_overall_brier_zoomed.png","archive/legacy_steps/33_recompute_orientation_corrected_meeting6_results.py","1985-2025 full history; 2025 evaluation has 11,379 games","2025","canonical Player A; outcome_a; direct Player-A probability","orientation_corrected_final","Step 29 overall Brier figure","4.3","Final zoomed visual comparison of overall Brier scores","b9e269242756806d9f80d70dbd1b1b00e7121442776754a4e12dbc701a16d292"
"calibration_summary.csv","outputs/meeting6/33_standard_calibration_summary.csv","archive/legacy_steps/33_recompute_orientation_corrected_meeting6_results.py","1985-2025 full history; overall and prespecified 2025 subgroups","2025","canonical Player A; outcome_a; direct Player-A probability","orientation_corrected_final","Steps 29-31 probability-based calibration summaries","4.4","Overall and subgroup weighted absolute Player-A calibration error","9149d14e5fa701d2c339b15a51c7337a8dae9c1b333ace3e8a50d61880075d8b"
"calibration_bins.csv","outputs/meeting6/33_standard_calibration_bins.csv","archive/legacy_steps/33_recompute_orientation_corrected_meeting6_results.py","1985-2025 full history; overall and prespecified 2025 subgroups","2025","canonical Player A; outcome_a; direct Player-A probability","orientation_corrected_final","Steps 29-31 probability-based calibration bins","4.4","Ten probability bins from 0.0-0.1 through 0.9-1.0 for bin-level calibration statements","3e30ad1118c46bf8e0b3d825cd6c18288345328e038199004ee4ad41e6deb531"
"calibration_player_a.png","outputs/meeting6/figures/33_fig07_standard_player_a_calibration.png","archive/legacy_steps/33_recompute_orientation_corrected_meeting6_results.py","1985-2025 full history; overall 2025 evaluation","2025","canonical Player A; outcome_a; direct Player-A probability","orientation_corrected_final","Steps 29-31 probability-based calibration figures","4.4","Final common Player-A calibration figure","3b9394619e4c6eeb3e5b921157267dd1dbdfee62bfc2485106221025bb34fa94"
"glicko_inflation_sensitivity.csv","outputs/meeting5_glicko_rd_inflation/meeting5_glicko_rd_inflation_metrics_2025.csv","archive/legacy_steps/24_glicko_rd_inflation_sensitivity.py","1985-2025 full history; C0, low, medium and high inactivity-inflation variants","2025","actual-winner probability; historical exploratory convention; not the final headline orientation","exploratory_2025_sensitivity","none; Step 33 supersedes its headline C0-versus-low probability comparison","4.5","Exploratory relative ordering of inactivity-inflation settings; do not use for headline C0-versus-low values","239b8f5cdb8cb9ef8e538081f328e27fd80394136d3fc8c0d61ef52e2411efa9"
